1740787200000000,84349.95000000,84390.05000000,84257.15000000,84295.75000000,39.82220000,1740787499999999,3357608.68866840,11703,14.76176000,1244944.95904150,0
1740787500000000,84295.75000000,84413.82000000,84295.74000000,84385.09000000,36.61524000,1740787799999999,3089577.48480490,9741,23.81800000,2009908.30043310,0
1740787800000000,84385.10000000,84536.52000000,84384.17000000,84536.52000000,23.66571000,1740788099999999,1998437.96521560,5844,17.12176000,1445907.14977190,0
1740788100000000,84536.76000000,84628.93000000,84457.67000000,84457.68000000,71.55105000,1740788399999999,6048433.03504390,17717,36.40093000,3077282.60165940,0
1740788400000000,84457.69000000,84484.93000000,84386.79000000,84400.04000000,26.34497000,1740788699999999,2224338.42277950,10838,11.95241000,1009150.55853760,0
1740788700000000,84400.04000000,84400.04000000,84270.91000000,84272.25000000,38.07612000,1740788999999999,3210734.12394360,7428,12.08008000,1018711.87865240,0
1740789000000000,84272.25000000,84291.56000000,84154.83000000,84171.17000000,43.59005000,1740789299999999,3670901.71091120,12541,13.21671000,1112980.02839760,0
1740789300000000,84171.17000000,84267.33000000,84099.02000000,84112.92000000,134.77659000,1740789599999999,11341745.23221890,13183,51.15233000,4304599.86366500,0
1740789600000000,84112.92000000,84162.21000000,84035.60000000,84162.21000000,40.63256000,1740789899999999,3416486.54170450,10526,19.98251000,1680222.31272740,0
1740789900000000,84162.21000000,84185.69000000,84049.53000000,84049.53000000,37.65426000,1740790199999999,3168464.29699440,9650,10.29217000,866143.60025940,0
1740790200000000,84049.52000000,84058.54000000,83867.92000000,83875.99000000,89.88552000,1740790499999999,7545073.62301260,12676,17.36769000,1457835.42297110,0
1740790500000000,83876.00000000,83900.00000000,83824.78000000,83857.92000000,53.98589000,1740790799999999,4527393.32396920,9289,20.91883000,1754278.50794190,0
1740790800000000,83857.91000000,83981.14000000,83851.86000000,83978.00000000,56.56409000,1740791099999999,4746645.10512130,12110,29.17820000,2448594.03412990,0
1740791100000000,83978.00000000,84066.35000000,83891.26000000,83949.01000000,40.50522000,1740791399999999,3401374.50922370,9728,14.51406000,1218921.30148880,0
1740791400000000,83949.01000000,84034.99000000,83949.00000000,83995.80000000,38.00655000,1740791699999999,3192503.66786460,7492,20.02740000,1682205.77893460,0
1740791700000000,83995.80000000,84064.00000000,83995.79000000,84062.82000000,38.51680000,1740791999999999,3237024.20717660,6122,13.17650000,1107337.40188020,0
1740792000000000,84062.83000000,84117.43000000,84000.00000000,84053.33000000,33.31571000,1740792299999999,2800133.84891610,7464,17.82907000,1498437.18856790,0
1740792300000000,84053.33000000,84053.34000000,83845.86000000,83981.12000000,102.93809000,1740792599999999,8638004.74645100,13853,77.65790000,6516435.83785500,0
1740792600000000,83981.12000000,84032.47000000,83903.27000000,84032.47000000,109.32933000,1740792899999999,9179245.50576260,11806,83.54050000,7014084.22887540,0
1740792900000000,84032.47000000,84095.20000000,84000.00000000,84082.97000000,111.34410000,1740793199999999,9357474.89410240,21491,59.85145000,5030144.25655290,0
1740793200000000,84082.96000000,84518.86000000,84064.13000000,84518.86000000,238.81176000,1740793499999999,20116340.02427090,29377,180.88938000,15233597.89294100,0
1740793500000000,84518.85000000,84580.16000000,84400.00000000,84457.78000000,108.06177000,1740793799999999,9132366.95096510,26522,60.83313000,5141209.12567370,0
1740793800000000,84457.78000000,84637.57000000,84445.00000000,84567.66000000,157.36075000,1740794099999999,13307155.19724760,21127,79.59979000,6730872.82244830,0
1740794100000000,84567.66000000,84870.68000000,84550.00000000,84656.93000000,113.03269000,1740794399999999,9575118.13005290,20896,77.51393000,6566316.26826550,0
1740794400000000,84656.93000000,84664.02000000,84365.04000000,84462.62000000,171.69832000,1740794699999999,14511354.01687070,27380,47.69179000,4030483.46768690,0
1740794700000000,84462.61000000,84462.61000000,84358.34000000,84426.59000000,65.72602000,1740794999999999,5547486.17360670,10738,25.26486000,2132629.46403600,0
1740795000000000,84426.59000000,84791.29000000,84400.77000000,84705.22000000,167.52238000,1740795299999999,14183749.83890660,25307,111.31925000,9424402.94512310,0
1740795300000000,84705.23000000,84816.38000000,84568.79000000,84690.19000000,133.62393000,1740795599999999,11318287.46382820,21028,79.44518000,6730373.05207210,0
1740795600000000,84690.19000000,84860.01000000,84690.19000000,84788.28000000,233.92035000,1740795899999999,19834168.73254750,18491,148.15618000,12560452.26893670,0
1740795900000000,84788.28000000,85088.35000000,84768.72000000,85088.35000000,296.99270000,1740796199999999,25236926.63960230,25507,191.99016000,16313625.67513110,0
1740796200000000,85088.35000000,85476.73000000,84955.08000000,85441.36000000,477.83516000,1740796499999999,40732282.96470030,50545,340.15118000,28998736.33617110,0
1740796500000000,85441.36000000,85441.36000000,85275.40000000,85294.83000000,158.53716000,1740796799999999,13529598.69709290,25297,75.77330000,6466541.42985820,0
1740796800000000,85294.82000000,85500.00000000,85164.75000000,85497.22000000,122.17606000,1740797099999999,10422309.97039230,22057,67.38628000,5750497.28909290,0
1740797100000000,85497.22000000,85538.47000000,85339.62000000,85441.86000000,111.12188000,1740797399999999,9492821.65227710,17433,62.81485000,5366594.85590270,0
1740797400000000,85441.86000000,85678.11000000,85333.10000000,85500.01000000,238.40119000,1740797699999999,20376192.32792920,21687,103.24882000,8829019.66843630,0
1740797700000000,85500.00000000,85500.01000000,85207.94000000,85240.46000000,135.55697000,1740797999999999,11567932.19874220,19443,54.71276000,4667514.25334990,0
1740798000000000,85240.45000000,85371.00000000,85222.92000000,85332.91000000,72.43695000,1740798299999999,6178647.50344040,12875,54.05177000,4610371.74307340,0
